Request_Number,Connect_Time(s),TLS_Handshake(s),Total_Time(s),Elapsed_Time(s),Status,Success_Count,Bytes_Sent(B),Bytes_Received(B),KEM,Signature,Cert_Size(B)
75,0.005395,0.537654,0.697116,0.07344675064086914,Success,34/500,1282,21308,x25519_mlkem512,dilithium5,14953
66,0.003077,0.608076,0.641099,0.13873052597045898,Success,35/500,1282,21308,x25519_mlkem512,dilithium5,14953
288,0.032012,1.539357,1.602334,1.4745478630065918,Success,36/500,1282,21308,x25519_mlkem512,dilithium5,14953
57,0.584416,1.60856,1.961705,1.5742278099060059,Success,37/500,1282,21308,x25519_mlkem512,dilithium5,14953
224,0.252938,1.414998,1.750877,1.5309686660766602,Success,38/500,1282,21302,x25519_mlkem512,dilithium5,14953
48,0.36364,1.664051,1.71261,1.5864455699920654,Success,39/500,1282,21308,x25519_mlkem512,dilithium5,14953
215,0.287051,1.410052,1.423926,1.5200588703155518,Success,40/500,1282,21308,x25519_mlkem512,dilithium5,14953
25,0.005651,1.021433,1.077829,0.007761240005493164,Success,41/500,1282,21308,x25519_mlkem512,dilithium5,14953
206,0.085974,0.952903,1.107305,1.4420993328094482,Success,42/500,1282,21308,x25519_mlkem512,dilithium5,14953
332,0.006046,0.574019,0.584356,0.013004302978515625,Success,43/500,1282,21308,x25519_mlkem512,dilithium5,14953
197,0.549816,1.676321,1.82442,1.8466463088989258,Success,44/500,1282,21302,x25519_mlkem512,dilithium5,14953
39,0.2219,1.341761,1.385399,1.8883717060089111,Success,45/500,1282,21308,x25519_mlkem512,dilithium5,14953
30,0.102355,1.294683,1.300438,1.6010236740112305,Success,46/500,1282,21308,x25519_mlkem512,dilithium5,14953
161,0.007092,0.62061,0.633385,0.09998965263366699,Success,47/500,1282,21302,x25519_mlkem512,dilithium5,14953
252,0.003804,0.558904,0.674742,0.0029528141021728516,Success,48/500,1282,21308,x25519_mlkem512,dilithium5,14953
152,0.049882,0.591709,0.612651,1.8603971004486084,Success,49/500,1282,21308,x25519_mlkem512,dilithium5,14953
143,0.00471,0.559887,0.602563,0.11311078071594238,Success,50/500,1282,21308,x25519_mlkem512,dilithium5,14953
7,0.003764,0.555139,0.593134,0.0013186931610107422,Success,51/500,1282,21302,x25519_mlkem512,dilithium5,14953
128,0.011231,0.615945,0.670485,0.12097907066345215,Success,52/500,1282,21308,x25519_mlkem512,dilithium5,14953
379,0.00285,0.021719,0.02782,0.464719295501709,Success,53/500,1282,21308,x25519_mlkem512,dilithium5,14953
92,0.417131,1.527942,1.540568,1.571446180343628,Success,54/500,1282,21308,x25519_mlkem512,dilithium5,14953
14,0.004819,0.586788,0.605548,0.0006074905395507812,Success,55/500,1282,21308,x25519_mlkem512,dilithium5,14953
323,0.281128,1.092941,1.493343,1.465855598449707,Success,56/500,1282,21308,x25519_mlkem512,dilithium5,14953
314,0.532208,1.163357,1.167281,1.4597389698028564,Success,57/500,1282,21308,x25519_mlkem512,dilithium5,14953
305,0.037354,0.785083,0.840949,1.4697742462158203,Success,58/500,1282,21308,x25519_mlkem512,dilithium5,14953
296,0.08903,0.880026,0.972915,1.4576797485351562,Success,59/500,1282,21308,x25519_mlkem512,dilithium5,14953
241,0.025789,0.889716,0.896118,1.5292541980743408,Success,60/500,1282,21308,x25519_mlkem512,dilithium5,14953
338,0.037797,1.030132,1.133661,1.299870491027832,Success,61/500,1282,21308,x25519_mlkem512,dilithium5,14953
251,0.004671,0.568614,0.577825,0.0011165142059326172,Success,62/500,1282,21308,x25519_mlkem512,dilithium5,14953
232,0.042655,0.949041,0.958324,1.5245940685272217,Success,63/500,1282,21308,x25519_mlkem512,dilithium5,14953
65,0.006476,0.547367,0.556803,0.07800030708312988,Success,64/500,1282,21308,x25519_mlkem512,dilithium5,14953
214,0.024536,1.098846,1.558342,1.8405208587646484,Success,65/500,1282,21308,x25519_mlkem512,dilithium5,14953
339,0.496378,1.286887,1.529116,1.205944538116455,Success,66/500,1282,21308,x25519_mlkem512,dilithium5,14953
196,0.039225,1.125067,1.327831,1.5394659042358398,Success,67/500,1282,21308,x25519_mlkem512,dilithium5,14953
331,0.006897,0.598839,0.620772,0.011990547180175781,Success,68/500,1282,21308,x25519_mlkem512,dilithium5,14953
269,0.102993,1.322658,1.32826,1.3757314682006836,Success,69/500,1282,21308,x25519_mlkem512,dilithium5,14953
260,0.687092,1.877035,1.886334,1.4749910831451416,Success,70/500,1282,21308,x25519_mlkem512,dilithium5,14953
374,0.039794,0.682486,0.693072,1.8427088260650635,Success,71/500,1282,21308,x25519_mlkem512,dilithium5,14953
187,0.331007,1.042306,1.076893,1.849001169204712,Success,72/500,1282,21308,x25519_mlkem512,dilithium5,14953
17,0.006596,0.535136,0.559762,0.0022058486938476562,Success,73/500,1282,21302,x25519_mlkem512,dilithium5,14953
169,0.283183,1.553593,1.905239,1.5343730449676514,Success,74/500,1282,21308,x25519_mlkem512,dilithium5,14953
6,0.003303,0.589022,1.208369,0.0033996105194091797,Success,75/500,1282,21302,x25519_mlkem512,dilithium5,14953
142,0.034469,0.701691,0.790239,1.554628849029541,Success,76/500,1282,21308,x25519_mlkem512,dilithium5,14953
329,0.012845,0.571225,0.664922,0.02263164520263672,Success,77/500,1282,21302,x25519_mlkem512,dilithium5,14953
22,0.006546,0.55063,0.557853,0.0006120204925537109,Success,78/500,1282,21308,x25519_mlkem512,dilithium5,14953
136,0.003032,0.537861,0.60177,0.05779004096984863,Success,79/500,1282,21308,x25519_mlkem512,dilithium5,14953
127,0.011038,0.56397,0.711279,0.12092304229736328,Success,80/500,1282,21308,x25519_mlkem512,dilithium5,14953
118,0.478584,1.403733,1.424095,1.572408676147461,Success,81/500,1282,21302,x25519_mlkem512,dilithium5,14953
100,0.214819,1.293338,1.335192,0.9387550354003906,Success,82/500,1282,21308,x25519_mlkem512,dilithium5,14953
91,0.328094,1.013002,1.079669,1.5791370868682861,Success,83/500,1282,21302,x25519_mlkem512,dilithium5,14953
322,0.033482,0.728924,0.907845,1.461791753768921,Success,84/500,1282,21302,x25519_mlkem512,dilithium5,14953
313,0.369651,1.060128,1.07585,1.4634807109832764,Success,85/500,1282,21308,x25519_mlkem512,dilithium5,14953
304,0.105293,1.175521,1.225584,1.4642627239227295,Success,86/500,1282,21308,x25519_mlkem512,dilithium5,14953
73,0.414616,1.448497,1.57809,1.5727801322937012,Success,87/500,1282,21302,x25519_mlkem512,dilithium5,14953
28,0.017223,1.203536,1.291895,1.6041290760040283,Success,88/500,1282,21302,x25519_mlkem512,dilithium5,14953
240,0.00274,0.580685,0.588629,0.011088132858276367,Success,89/500,1282,21308,x25519_mlkem512,dilithium5,14953
295,0.271494,1.898859,1.941499,0.8239438533782959,Success,90/500,1282,21308,x25519_mlkem512,dilithium5,14953
55,0.696035,2.212507,2.363194,1.5905773639678955,Success,91/500,1282,21308,x25519_mlkem512,dilithium5,14953
4,0.004142,0.602647,0.610154,0.0013229846954345703,Success,92/500,1282,21308,x25519_mlkem512,dilithium5,14953
277,0.683661,1.386687,1.509297,0.8882143497467041,Success,93/500,1282,21302,x25519_mlkem512,dilithium5,14953
213,0.227001,1.555256,1.614008,1.431570291519165,Success,94/500,1282,21308,x25519_mlkem512,dilithium5,14953
204,0.204844,1.246704,1.316911,1.5402939319610596,Success,95/500,1282,21308,x25519_mlkem512,dilithium5,14953
195,0.602672,2.015356,2.020671,1.4649605751037598,Success,96/500,1282,21308,x25519_mlkem512,dilithium5,14953
250,0.005807,0.566574,0.688881,0.0022177696228027344,Success,97/500,1282,21308,x25519_mlkem512,dilithium5,14953
259,0.114353,1.044246,1.174047,1.4372854232788086,Success,98/500,1282,21308,x25519_mlkem512,dilithium5,14953
358,0.131536,0.991305,1.0063,1.6930630207061768,Success,99/500,1282,21302,x25519_mlkem512,dilithium5,14953
15,0.007327,0.545192,0.577394,0.002742767333984375,Success,100/500,1282,21308,x25519_mlkem512,dilithium5,14953
37,0.331792,1.184283,1.252191,1.5986475944519043,Success,101/500,1282,21308,x25519_mlkem512,dilithium5,14953
21,0.011477,0.591492,0.609165,0.019374370574951172,Success,102/500,1282,21308,x25519_mlkem512,dilithium5,14953
168,0.010813,1.10102,1.145324,1.474013090133667,Success,103/500,1282,21302,x25519_mlkem512,dilithium5,14953
159,0.494034,1.236486,1.249519,1.8431122303009033,Success,104/500,1282,21308,x25519_mlkem512,dilithium5,14953
150,0.020714,1.099003,1.141323,1.45223069190979,Success,105/500,1282,21308,x25519_mlkem512,dilithium5,14953
330,0.006738,0.586971,0.600748,0.022152185440063477,Success,106/500,1282,21308,x25519_mlkem512,dilithium5,14953
